(73, 214)
(228, 213)
(228, 87)
(72, 87)
(72, 213)
(228, 212)
(228, 88)
(72, 88)
(72, 212)
(229, 211)
(229, 89)
(71, 89)
(71, 211)
(230, 210)
(230, 90)
(70, 90)
(70, 210)
(231, 209)
(231, 91)
(69, 91)
(69, 209)
(231, 208)
(231, 92)
(69, 92)
(69, 208)
(232, 207)
(232, 93)
(68, 93)
(68, 207)
(233, 206)
(233, 94)
(67, 94)
(67, 206)
(234, 205)
(234, 95)
(66, 95)
(66, 205)
(234, 204)
(234, 96)
(66, 96)
(66, 204)
(235, 203)
(235, 97)
(65, 97)
(65, 203)
(235, 202)
(235, 98)
(65, 98)
(65, 202)
(236, 201)
(236, 99)
(64, 99)
(64, 201)
(237, 200)
(237, 100)
(63, 100)
(63, 200)
(237, 199)
(237, 101)
(63, 101)
(63, 199)
(238, 198)
(238, 102)
(62, 102)
(62, 198)
(238, 197)
(238, 103)
(62, 103)
(62, 197)
(239, 196)
(239, 104)
(61, 104)
(61, 196)
(239, 195)
(239, 105)
(61, 105)
(61, 195)
(240, 194)
(240, 106)
(60, 106)
(60, 194)
(240, 193)
(240, 107)
(60, 107)
(60, 193)
(241, 192)
(241, 108)
(59, 108)
(59, 192)
(241, 191)
(241, 109)
(59, 109)
(59, 191)
(242, 190)
(242, 110)
(58, 110)
(58, 190)
(242, 189)
(242, 111)
(58, 111)
(58, 189)
(242, 188)
(242, 112)
(58, 112)
(58, 188)
(243, 187)
(243, 113)
(57, 113)
(57, 187)
(243, 186)
(243, 114)
(57, 114)
(57, 186)
(244, 185)
(244, 115)
(56, 115)
(56, 185)
(244, 184)
(244, 116)
(56, 116)
(56, 184)
(244, 183)
(244, 117)
(56, 117)
(56, 183)
(245, 182)
(245, 118)
(55, 118)
(55, 182)
(245, 181)
(245, 119)
(55, 119)
(55, 181)
(245, 180)
(245, 120)
(55, 120)
(55, 180)
(246, 179)
(246, 121)
(54, 121)
(54, 179)
(246, 178)
(246, 122)
(54, 122)
(54, 178)
(246, 177)
(246, 123)
(54, 123)
(54, 177)
(247, 176)
(247, 124)
(53, 124)
(53, 176)
(247, 175)
(247, 125)
(53, 125)
(53, 175)
(247, 174)
(247, 126)
(53, 126)
(53, 174)
(247, 173)
(247, 127)
(53, 127)
(53, 173)
(248, 172)
(248, 128)
(52, 128)
(52, 172)
(248, 171)
(248, 129)
(52, 129)
(52, 171)
(248, 170)
(248, 130)
(52, 130)
(52, 170)
(248, 169)
(248, 131)
(52, 131)
(52, 169)
(248, 168)
(248, 132)
(52, 132)
(52, 168)
(249, 167)
(249, 133)
(51, 133)
(51, 167)
(249, 166)
(249, 134)
(51, 134)
(51, 166)
(249, 165)
(249, 135)
